Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\PCB_Project_1\Project Outputs for PCB_Project_1\Pick Place for stm32.txt

========================================================================================================================
File Design Information:

Date:       30.09.22
Time:       15:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                   Variation 
J7         "Header 2.54 1x3"      TopLayer    Header_2.54_1x3         1708.662mil   283.858mil    90       "Header 2.54 1x3"                             Fitted    
Y1         "8 MHz 12.5 pf Osc"    TopLayer    8_MHZ_Osc.              681.642mil    1104.972mil   270      "CRYSTAL 8MHZ 12.5pF SMD TR RALTRON"          Fitted    
U5         BMP280                 TopLayer    BMP280                  941.437mil    328.740mil    0        "SENSOR PRESSURE ABS"                         Fitted    
U4         STM32F101              TopLayer    LQFP48-STM              931.103mil    768.701mil    0        "IC MCU 32BIT 64KB FLASH 48LQFP"              Fitted    
U3         MPU6050                TopLayer    QFN50P400X400X90_HS-25N 1346.457mil   568.898mil    180      "IMU ACCEL/GYRO 3-AXIS I2C 24QFN"             Fitted    
U2         "LD108633 DPAK"        TopLayer    DPAK228P972X230-3N      893.701mil    1494.094mil   90       "IC REG LINEAR 3.3V 1.5A DPAK"                Fitted    
U1         L7805-DPAK             TopLayer    DPAK228P972X230-3N      1212.795mil   1496.063mil   90       "IC REG LINEAR 5V 1.5A DPAK"                  Fitted    
R5         "10K R1206"            BottomLayer R1206_RESISTOR          399.047mil    1132.726mil   90       "RQ 0805 10R 0.1% 10PPM 1K RL"                Fitted    
R4         "10K R1206"            TopLayer    R1206_RESISTOR          245.227mil    1237.764mil   180      "RQ 0805 10R 0.1% 10PPM 1K RL"                Fitted    
R3         "10K R1206"            TopLayer    R1206_RESISTOR          991.701mil    1078.592mil   90       "RQ 0805 10R 0.1% 10PPM 1K RL"                Fitted    
R2         "4.7K R1206"           TopLayer    R1206_RESISTOR          1344.914mil   309.204mil    270      "CPF 1206 4R64 0.1% 25PPM 1K RL"              Fitted    
R1         "4.7K R1206"           BottomLayer R1206_RESISTOR          1477.922mil   310.188mil    270      "CPF 1206 4R64 0.1% 25PPM 1K RL"              Fitted    
J6         "Header 2.54 1x4"      TopLayer    Header_2.54_1x4         1207.480mil   81.693mil     360      "Header 2.54 1x4"                             Fitted    
J5         "Header 2.54 1x5"      TopLayer    Header_2.54_1x5         98.425mil     1225.197mil   270      "FEMALE HEADER 5PIN(1x5) 2.54mm THT V/T TRAY" Fitted    
J4         "Klemens 1x2 3.5mm"    TopLayer    Klemens_1x2_3.5mm       1627.953mil   1586.614mil   90       "Klemens 1x2 3.5mm"                           Fitted    
J3         "Klemens 1x2 3.5mm"    TopLayer    Klemens_1x2_3.5mm       1627.953mil   1212.599mil   90       "Klemens 1x2 3.5mm"                           Fitted    
J2         "Header 2.54 1x4"      TopLayer    Header_2.54_1x4         1712.599mil   744.882mil    90       "Header 2.54 1x4"                             Fitted    
