Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\PCB_Project_1\Project Outputs for PCB_Project_1\Pick Place for stm32.txt

========================================================================================================================
File Design Information:

Date:       30.09.22
Time:       14:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                   Variation 
J7         "Header 2.54 1x3"      TopLayer    Header_2.54_1x3         43.4000mm    7.2100mm     90       "Header 2.54 1x3"                             Fitted    
Y1         "8 MHz 12.5 pf Osc"    TopLayer    8_MHZ_Osc.              17.3137mm    28.0663mm    270      "CRYSTAL 8MHZ 12.5pF SMD TR RALTRON"          Fitted    
U5         BMP280                 TopLayer    BMP280                  23.9125mm    8.3500mm     0        "SENSOR PRESSURE ABS"                         Fitted    
U4         STM32F101              TopLayer    LQFP48-STM              23.6500mm    19.5250mm    0        "IC MCU 32BIT 64KB FLASH 48LQFP"              Fitted    
U3         MPU6050                TopLayer    QFN50P400X400X90_HS-25N 34.2000mm    14.4500mm    180      "IMU ACCEL/GYRO 3-AXIS I2C 24QFN"             Fitted    
U2         "LD108633 DPAK"        TopLayer    DPAK228P972X230-3N      22.7000mm    37.9500mm    90       "IC REG LINEAR 3.3V 1.5A DPAK"                Fitted    
U1         L7805-DPAK             TopLayer    DPAK228P972X230-3N      30.8050mm    38.0000mm    90       "IC REG LINEAR 5V 1.5A DPAK"                  Fitted    
R5         "10K R1206"            BottomLayer R1206_RESISTOR          10.1358mm    28.7712mm    90       "RQ 0805 10R 0.1% 10PPM 1K RL"                Fitted    
R4         "10K R1206"            TopLayer    R1206_RESISTOR          6.2288mm     31.4392mm    180      "RQ 0805 10R 0.1% 10PPM 1K RL"                Fitted    
R3         "10K R1206"            TopLayer    R1206_RESISTOR          25.1892mm    27.3962mm    90       "RQ 0805 10R 0.1% 10PPM 1K RL"                Fitted    
R2         "4.7K R1206"           TopLayer    R1206_RESISTOR          34.1608mm    7.8538mm     270      "CPF 1206 4R64 0.1% 25PPM 1K RL"              Fitted    
R1         "4.7K R1206"           BottomLayer R1206_RESISTOR          37.5392mm    7.8788mm     270      "CPF 1206 4R64 0.1% 25PPM 1K RL"              Fitted    
J6         "Header 2.54 1x4"      TopLayer    Header_2.54_1x4         30.6700mm    2.0750mm     360      "Header 2.54 1x4"                             Fitted    
J5         "Header 2.54 1x5"      TopLayer    Header_2.54_1x5         2.5000mm     31.1200mm    270      "FEMALE HEADER 5PIN(1x5) 2.54mm THT V/T TRAY" Fitted    
J4         "Klemens 1x2 3.5mm"    TopLayer    Klemens_1x2_3.5mm       41.3500mm    40.3000mm    90       "Klemens 1x2 3.5mm"                           Fitted    
J3         "Klemens 1x2 3.5mm"    TopLayer    Klemens_1x2_3.5mm       41.3500mm    30.8000mm    90       "Klemens 1x2 3.5mm"                           Fitted    
J2         "Header 2.54 1x4"      TopLayer    Header_2.54_1x4         43.5000mm    18.9200mm    90       "Header 2.54 1x4"                             Fitted    
